code,state,census,credit2018,credit2015,debt_limit_type,debt_percent_SPI,debt_per_capita,state_local_division,centralization,revenue_volatility,ten_year_pop_growth
US,U.S. Median,0,0,0,N/A,0.0734,3198.05,0.5829,0.712,5,0.0619
AL,Alabama,6,3,3,Constitutional Amendment,0.0481,1839.02,0.7008,0.653,4.6,0.0332
AK,Alaska,9,3,1,Referendum and/or Supermajority,0.1332,7528.37,0.3729,0.431,37.6,0.0761
AZ,Arizona,8,3,3,Prohibition,0.0525,2085.75,0.7024,0.867,8.1,0.1172
AR,Arkansas,7,3,3,Referendum and/or Supermajority,0.0429,1675.32,0.7,0.765,3.7,0.0451
CA,California,9,4,4,Referendum and/or Supermajority,0.0711,3886.89,0.6389,0.862,8.6,0.0801
CO,Colorado,8,3,3,Prohibition,0.0608,3157.86,0.6936,0.978,8.4,0.1467
CT,Connecticut,1,6,3,Metric,0.1443,9836.64,0.2362,0.856,7,0.012
DE,Delaware,5,1,1,Both Referendum and/or Supermajority and Metric,0.1117,5258.85,0.3489,0.816,6.9,0.0883
FL,Florida,5,1,1,Both Referendum and/or Supermajority and Metric,0.0362,1641.65,0.7761,0.844,7.1,0.1326
GA,Georgia,5,1,1,Metric,0.0313,1285.65,0.7639,0.912,5.7,0.0973
HI,Hawaii,9,2,3,Metric,0.1258,6140.09,0.4057,0.889,5.6,0.0716
ID,Idaho,8,2,2,Referendum and/or Supermajority,0.0572,2228.32,0.4192,0.395,6.3,0.119
IL,Illinois,3,10,7,Both Referendum and/or Supermajority and Metric,0.0984,4992.37,0.5643,0.807,5.8,0.0043
IN,Indiana,3,1,1,Prohibition,0.0807,3376.56,0.5578,0.000,4.5,0.0377
IA,Iowa,4,1,1,Referendum and/or Supermajority,0.0429,1962.65,0.6683,0.720,4,0.0428
KS,Kansas,4,4,3,Referendum and/or Supermajority,0.0555,2609.09,0.7283,0.704,5.3,0.0374
KY,Kentucky,6,6,5,Referendum and/or Supermajority,0.0807,3107.62,0.6561,0.667,2.7,0.0383
LA,Louisiana,7,4,3,Both Referendum and/or Supermajority and Metric,0.0878,3762.57,0.5542,0.809,7.4,0.0561
ME,Maine,1,3,3,Referendum and/or Supermajority,0.088,3774.45,0.364,0.157,4.9,0.0041
MD,Maryland,5,1,1,No Limitation,0.0786,4417.81,0.4718,0.929,3.4,0.0646
MA,Massachusetts,1,3,2,Both Referendum and/or Supermajority and Metric,0.1762,11059.26,0.1794,0.864,6.8,0.0604
MI,Michigan,3,3,4,Referendum and/or Supermajority,0.0771,3320.57,0.5612,0.362,3.8,0.0016
MN,Minnesota,4,1,2,Referendum and/or Supermajority,0.0597,3054.79,0.6735,0.639,6.1,0.0628
MS,Mississippi,6,3,3,Metric,0.0712,2479.08,0.475,0.873,4.2,0.0123
MO,Missouri,4,1,1,Referendum and/or Supermajority,0.0749,3178.17,0.5879,0.576,4.1,0.032
MT,Montana,8,3,3,Referendum and/or Supermajority,0.0731,3117.96,0.3772,0.109,6.2,0.0759
NE,Nebraska,4,1,1,Prohibition,0.0193,954.74,0.8787,0.028,4,0.0689
NV,Nevada,8,3,3,Metric,0.027,1162.65,0.8796,0.859,5.8,0.1298
NH,New Hampshire,1,3,3,Metric,0.1132,6172.57,0.239,0.792,3.9,0.0204
NJ,New Jersey,2,7,6,Both Referendum and/or Supermajority and Metric,0.124,7449.64,0.3143,0.754,5.6,0.0338
